日付,順位,銘柄名,コード,市場,株価,前日差,騰落率,出来高,PER,PBR,配当利回り
20260522,149,山一電機,6941,東P,"7,930",-220,-2.70%,"4,909",15.9倍,3.14倍,1.89%
20260522,150,アルバック,6728,東P,"9,199",+294,+3.30%,"4,822",24.5倍,1.97倍,1.65%
20260522,151,ゼンショＨＤ,7550,東P,"7,683",-266,-3.35%,"4,822",25.9倍,4.61倍,1.04%
20260522,152,ＡＲＣＨＩＯ,543A,東P,411,+16,+4.05%,"4,789",15.2倍,2.31倍,1.95%
20260522,153,サントリＢＦ,2587,東P,"4,170",-20,-0.48%,"4,780",14.5倍,0.98倍,2.88%
20260522,154,日電硝,5214,東P,"6,582",-45,-0.68%,"4,709",21.1倍,0.98倍,2.43%
20260522,155,日立建機,6305,東P,"4,987",+75,+1.53%,"4,709",13.3倍,1.18倍,3.81%
20260522,156,ユニオンツル,6278,東P,"19,390",+390,+2.05%,"4,680",39.8倍,4.58倍,0.67%
20260522,157,Ｊディスプレ,6740,東P,63,+1,+1.61%,"4,660",ー倍,-6.2倍,ー%
20260522,158,ＰＡＬＴＡＣ,8283,東P,"6,630",0,0.00%,"4,650",ー倍,1.33倍,ー%
20260522,159,北洋銀,8524,東P,"1,013",+22,+2.22%,"4,630",12.9倍,0.98倍,3.16%
20260522,160,ＧＳユアサ,6674,東P,"6,038",-80,-1.31%,"4,619",16.8倍,1.53倍,1.62%
20260522,161,堀場製,6856,東P,"24,905",+260,+1.05%,"4,533",21.6倍,3.04倍,1.97%
20260522,162,Ｓｙｎｓ,290A,東G,"1,521",+48,+3.26%,"4,500",76.5倍,5.59倍,ー%
20260522,163,石油資源,1662,東P,"1,883",-138,-6.83%,"4,480",8.03倍,0.77倍,2.39%
20260522,164,ＤＩＣ,4631,東P,"4,627",+170,+3.81%,"4,449",13.3倍,0.91倍,3.03%
20260522,165,浜ゴム,5101,東P,"6,356",+61,+0.97%,"4,441",9.20倍,0.96倍,2.71%
20260522,166,日産化,4021,東P,"7,119",-70,-0.97%,"4,413",18.5倍,3.74倍,2.98%
20260522,167,トレンド,4704,東P,"5,990",+46,+0.77%,"4,407",21.2倍,7.00倍,ー%
20260522,168,きんでん,1944,東P,"6,819",+91,+1.35%,"4,379",19.3倍,2.04倍,3.52%
20260522,169,阪急阪神,9042,東P,"4,808",-12,-0.25%,"4,322",14.4倍,1.03倍,2.08%
20260522,170,ビルファンド,8951,東Ｒ,"123,600","+1,600",+1.31%,"4,318",22.6倍,1.49倍,3.98%
20260522,171,ニッコンＨＤ,9072,東P,"6,335",+563,+9.75%,"4,230",33.1倍,3.11倍,1.77%
20260522,172,栗田工,6370,東P,"8,563",+175,+2.09%,"4,219",22.3倍,2.75倍,1.56%
20260522,173,東洋水,2875,東P,"11,050",-15,-0.14%,"4,211",16.4倍,2.03倍,1.99%
20260522,174,ウシオ電,6925,東P,"4,040",+261,+6.91%,"4,090",30.5倍,1.62倍,1.73%
20260522,175,オービック,4684,東P,"4,156",-28,-0.67%,"4,063",21.9倍,3.48倍,2.26%
20260522,176,コムシスＨＤ,1721,東P,"5,218",-152,-2.83%,"4,063",16.0倍,1.51倍,2.59%
20260522,177,ＤＯＷＡ,5714,東P,"10,165",+40,+0.40%,"4,024",10.6倍,1.32倍,3.33%
20260522,178,ｉＳ日経,1329,東Ｅ,"6,419",+183,+2.93%,"4,002",ー倍,ー倍,ー%
20260522,179,名村造,7014,東S,"3,755",+80,+2.18%,"3,955",11.9倍,1.91倍,1.60%
20260522,180,オークマ,6103,東P,"4,035",-20,-0.49%,"3,945",18.3倍,0.97倍,2.48%
20260522,181,カバー,5253,東G,"1,743",+43,+2.53%,"3,926",23.4倍,5.73倍,ー%
20260522,182,上場日経平均,1330,東Ｅ,"64,680","+1,920",+3.06%,"3,823",ー倍,ー倍,ー%
20260522,183,明電舎,6508,東P,"10,720",+380,+3.68%,"3,777",22.1倍,2.78倍,ー%
20260522,184,オンコセラピ,4564,東G,20,0,0.00%,"3,709",ー倍,3.85倍,ー%
20260522,185,ニチコン,6996,東P,"3,125",+35,+1.13%,"3,704",31.3倍,1.75倍,1.25%
20260522,186,Ｊパワー,9513,東P,"4,392",+40,+0.92%,"3,701",9.54倍,0.55倍,2.39%
20260522,187,トクヤマ,4043,東P,"4,381",+217,+5.21%,"3,685",ー倍,1.11倍,ー%
20260522,188,オンコリス,4588,東G,"2,297",+256,+12.54%,"3,648",ー倍,18.8倍,ー%
20260522,189,マクドナルド,2702,東S,"7,980",-90,-1.12%,"3,633",30.8倍,3.74倍,0.80%
20260522,190,野村マイクロ,6254,東P,"4,585",+170,+3.85%,"3,482",15.8倍,4.47倍,1.85%
20260522,191,関電化,4047,東P,"2,870",+204,+7.65%,"3,399",24.2倍,2.27倍,1.25%
20260522,192,メック,4971,東P,"10,030",+370,+3.83%,"3,395",33.0倍,5.79倍,1.10%
20260522,193,オルガノ,6368,東P,"16,480",+370,+2.30%,"3,361",25.3倍,5.30倍,1.33%
20260522,194,ジャパンＲＥ,8952,東Ｒ,"113,300",-100,-0.09%,"3,342",21.6倍,1.52倍,4.52%
20260522,195,クレセゾン,8253,東P,"4,221",+52,+1.25%,"3,329",8.03倍,0.80倍,3.79%
20260522,196,ダイヘン,6622,東P,"15,820",+540,+3.53%,"3,270",22.6倍,2.42倍,1.33%
20260522,197,マキタ,6586,東P,"5,652",0,0.00%,"3,095",18.0倍,1.46倍,ー%
20260522,198,純銀信託,1542,東Ｅ,"35,170",+70,+0.20%,"3,041",ー倍,ー倍,ー%
20260522,199,千代建,6366,東S,712,0,0.00%,"3,031",26.7倍,5.54倍,ー%
20260522,200,Ｓａｎｓａｎ,4443,東P,"1,407",+17,+1.22%,"2,982",ー倍,9.88倍,0.18%
20260522,201,シマノ,7309,東P,"17,020",+130,+0.77%,"2,975",34.6倍,1.68倍,2.13%
20260522,202,ＡＩストーム,3719,東S,224,+22,+10.89%,"2,947",29.4倍,2.69倍,1.34%
20260522,203,シチズン,7762,東P,"2,119",-55,-2.53%,"2,932",18.8倍,1.76倍,2.36%
20260522,204,ＧＸ半導体,2243,東Ｅ,"4,479",+181,+4.21%,"2,893",ー倍,ー倍,ー%
20260522,205,オープンＨ,3288,東P,"8,713",+104,+1.21%,"2,853",8.25倍,1.67倍,2.30%
20260522,206,ほくほくＦＧ,8377,東P,"6,801",+287,+4.41%,"2,835",13.2倍,1.13倍,2.21%
20260522,207,光通信,9435,東P,"37,310",-440,-1.17%,"2,799",13.6倍,1.38倍,2.09%
20260522,208,シンフォニア,6507,東P,"13,600",+420,+3.19%,"2,781",25.6倍,3.88倍,1.18%
20260522,209,オキサイド,6521,東G,"5,590",-190,-3.29%,"2,767",109倍,13.8倍,ー%
20260522,210,ＧＭＯ－ＰＧ,3769,東P,"8,735",-62,-0.70%,"2,760",28.3倍,5.66倍,1.95%
20260522,211,住友重,6302,東P,"5,142",+67,+1.32%,"2,751",18.1倍,0.90倍,2.82%
20260522,212,ジーエヌアイ,2160,東G,"2,821",+85,+3.11%,"2,737",ー倍,3.15倍,ー%
20260522,213,豊田合,7282,東P,"4,634",+135,+3.00%,"2,724",9.53倍,0.96倍,3.78%
20260522,214,日本オラクル,4716,東S,"8,898",+65,+0.74%,"2,716",ー倍,6.06倍,ー%
20260522,215,日本酸素ＨＤ,4091,東P,"5,852",+35,+0.60%,"2,711",19.3倍,2.08倍,1.13%
20260522,216,百五銀,8368,東P,"2,003",+48,+2.46%,"2,706",16.8倍,0.94倍,2.10%
20260522,217,ウエストＨＤ,1407,東S,"2,923",-162,-5.25%,"2,696",17.6倍,3.37倍,2.39%
20260522,218,ツガミ,6101,東P,"5,940",+190,+3.30%,"2,688",16.3倍,3.45倍,1.65%
20260522,219,ＷＴＩ原油,1671,東Ｅ,"5,750",-169,-2.86%,"2,682",ー倍,ー倍,ー%
20260522,220,テクセンド,429A,東P,"4,075",+190,+4.89%,"2,615",17.1倍,2.32倍,1.72%
20260522,221,日ハム,2282,東P,"6,230",-85,-1.35%,"2,610",15.4倍,1.09倍,2.89%
20260522,222,ラサ工,4022,東P,"1,838",+12,+0.66%,"2,580",16.7倍,2.25倍,1.96%
20260522,223,サンバイオ,4592,東G,"1,518",+89,+6.23%,"2,573",ー倍,8.88倍,ー%
20260522,224,第四北越ＦＧ,7327,東P,"2,152",+41,+1.94%,"2,563",11.3倍,0.99倍,3.53%
20260522,225,高砂熱,1969,東P,"4,173",-11,-0.26%,"2,538",13.7倍,2.60倍,2.95%
20260522,226,ＡＲＥＨＤ,5857,東P,"3,425",-40,-1.15%,"2,532",10.2倍,1.28倍,3.94%
20260522,227,明治ＨＤ,2269,東P,"3,713",-100,-2.62%,"2,492",16.1倍,1.30倍,2.96%
20260522,228,ヒロセ電,6806,東P,"23,485",+45,+0.19%,"2,484",22.6倍,2.03倍,2.21%
20260522,229,日ケミコン,6997,東P,"2,923",-68,-2.27%,"2,467",17.6倍,1.13倍,0.86%
20260522,230,サイゼリヤ,7581,東P,"5,170",-60,-1.15%,"2,395",21.5倍,2.02倍,0.58%
20260522,231,さくらネット,3778,東P,"2,837",+22,+0.78%,"2,392",134倍,3.77倍,0.19%
20260522,232,デンカ,4061,東P,"3,883",+26,+0.67%,"2,389",20.9倍,1.08倍,2.58%
20260522,233,扶桑化学,4368,東P,"3,970",+220,+5.87%,"2,346",25.3倍,3.58倍,0.71%
20260522,234,ホテルリート,8985,東Ｒ,"75,600",+700,+0.93%,"2,345",16.0倍,1.52倍,6.85%
20260522,235,太平洋セメ,5233,東P,"4,078",+108,+2.72%,"2,345",9.26倍,0.65倍,2.94%
20260522,236,Ａｉロボ,247A,東G,778,-1,-0.13%,"2,339",ー倍,8.35倍,ー%
20260522,237,オプトラン,6235,東P,"3,705",-60,-1.59%,"2,324",26.4倍,1.84倍,1.51%
20260522,238,トムソン,6480,東P,"1,996",+81,+4.23%,"2,279",20.5倍,1.68倍,1.60%
20260522,239,ランド,8918,東S,10,0,0.00%,"2,261",11.4倍,1.68倍,ー%
20260522,240,日経高配５０,1489,東Ｅ,"3,210",+22,+0.69%,"2,209",ー倍,ー倍,ー%
20260522,241,牧野フ,6135,東P,"13,290",+100,+0.76%,"2,180",14.1倍,1.19倍,2.56%
20260522,242,霞ヶ関Ｃ,3498,東P,"5,870",+40,+0.69%,"2,168",8.73倍,1.93倍,2.81%
20260522,243,エンプラス,6961,東P,"12,980",+200,+1.56%,"2,139",23.5倍,1.88倍,0.69%
20260522,244,日本ドライ,1909,東S,"3,755",0,0.00%,"2,126",ー倍,3.24倍,ー%
20260522,245,コスモス薬品,3349,東P,"6,179",-2,-0.03%,"2,118",15.8倍,1.79倍,1.21%
20260522,246,中国塗,4617,東P,"3,160",+125,+4.12%,"2,112",ー倍,1.64倍,3.16%
20260522,247,ムニノバＨＤ,547A,東P,471,+15,+3.29%,"2,061",7.13倍,0.95倍,4.25%
20260522,248,東洋エンジ,6330,東P,"2,016",-9,-0.44%,"2,035",26.5倍,3.04倍,1.24%
20260522,249,ＡＤＥＫＡ,4401,東P,"4,086",+146,+3.71%,"1,997",13.8倍,1.27倍,2.94%
20260522,250,日電子,6951,東P,"6,500",+200,+3.17%,"1,992",14.9倍,2.18倍,2.03%
