No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
292,6754,アンリツ,東P,"4,239",+95,+2.29,2351200,36.2,4.09,1.18,9966736800
293,7951,ヤマハ,東P,"1,135.0",+14.5,+1.29,2347300,17.8,1.04,2.29,2664185500
294,7826,フルヤ金属,東P,"10,080",-550,-5.17,2329600,16.5,3.36,1.54,23482368000
295,8795,Ｔ＆Ｄ,東P,"3,949",-53,-1.32,2306000,14.0,1.18,4.15,9106394000
296,6890,フェローテク,東S,"9,460",-340,-3.47,2302900,14.5,1.71,2.82,21785434000
297,6845,アズビル,東P,"1,510.5",-35.0,-2.26,2274200,21.6,3.01,3.31,3435179100
298,4519,中外薬,東P,"7,938",-158,-1.95,2260800,ー,6.85,1.66,17946230400
299,5844,京都ＦＧ,東P,"4,413",+13,+0.30,2254500,24.0,1.10,2.38,9949108500
300,8630,ＳＯＭＰＯ,東P,"6,100",+102,+1.70,2241700,9.38,1.09,2.46,13674370000
301,3110,日東紡,東P,"23,900","-2,290",-8.74,2240100,51.2,5.01,0.59,53538390000
302,3905,データセク,東G,"2,343",+194,+9.03,2238800,7.99,3.75,ー,5245508400
303,2331,ＡＬＳＯＫ,東P,"1,094.0",-14.5,-1.31,2236400,14.3,1.39,3.02,2446621600
304,5334,特殊陶,東P,"9,679",-78,-0.80,2196000,18.0,2.47,2.17,21255084000
305,141A,トライアル,東G,"3,570",-700,-16.39,2195000,875,3.35,0.45,7836150000
306,5955,ワイズＨＤ,東S,91,-2,-2.15,2193600,32.7,1.01,1.10,199617600
307,1662,石油資源,東P,"1,965",-47,-2.34,2191500,8.38,0.80,2.29,4306297500
308,9042,阪急阪神,東P,"4,787",+210,+4.59,2188300,14.4,1.03,2.09,10475392100
309,3197,すかいらーく,東P,"2,884.5",+24.0,+0.84,2185900,33.6,3.45,0.90,6305228550
310,7167,めぶきＦＧ,東P,"1,377.5",+7.0,+0.51,2181400,13.6,1.20,2.90,3004878500
311,7859,アルメディオ,東S,294,+23,+8.49,2157700,ー,0.75,ー,634363800
312,5985,サンコール,東S,"1,619",-256,-13.65,2152000,11.7,1.43,1.85,3484088000
313,8714,池田泉州ＨＤ,東P,955,+20,+2.14,2143100,13.9,1.06,2.88,2046660500
314,5333,ＮＧＫ,東P,"5,696",-91,-1.57,2140600,19.5,1.98,1.86,12192857600
315,7762,シチズン,東P,"2,256",-7,-0.31,2133500,20.0,1.88,2.22,4813176000
316,8524,北洋銀,東P,995,+8,+0.81,2130300,12.7,0.96,3.22,2119648500
317,278A,テラドローン,東G,"12,190","+1,450",+13.50,2123900,ー,24.5,ー,25890341000
318,7771,日本精密,東S,410,+18,+4.59,2112100,49.2,4.82,ー,865961000
319,4563,アンジェス,東G,50,-1,-1.96,2090900,ー,10.2,ー,104545000
320,2315,ＣＡＩＣＡＤ,東S,62,-2,-3.13,2087800,124,3.17,ー,129443600
321,7777,３ＤＭ,東G,476,-16,-3.25,2087500,59.7,13.0,ー,993650000
322,4385,メルカリ,東P,"4,173",-20,-0.48,2084700,ー,5.73,ー,8699453100
323,2002,日清粉Ｇ,東P,"1,941.5",-71.0,-3.53,2081900,13.2,1.05,3.35,4042008850
324,4477,ＢＡＳＥ,東G,263,-4,-1.50,2073900,20.2,2.08,1.90,545435700
325,6659,メディアＬ,東S,33,-2,-5.71,2073400,ー,1.00,ー,68422200
326,9506,東北電,東P,"1,051.5",-1.0,-0.10,2067300,ー,0.47,3.80,2173765950
327,3941,レンゴー,東P,"1,404.0",+19.0,+1.37,2035700,11.2,0.71,3.56,2858122800
328,1801,大成建,東P,"14,695","-1,350",-8.41,2034700,15.9,2.53,2.59,29899916500
329,9007,小田急,東P,"1,704.0",-1.5,-0.09,2026200,15.4,1.16,3.52,3452644800
330,7701,島津,東P,"3,506.0",+16.0,+0.46,2007800,18.4,1.79,2.00,7039346800
331,5726,大阪チタ,東P,"2,502",-6,-0.24,2003600,51.1,2.08,0.52,5013007200
332,6480,トムソン,東P,"1,800",-89,-4.71,1987500,18.5,1.51,1.78,3577500000
333,6544,Ｊエレベータ,東P,"1,869.0",+211.0,+12.73,1987400,40.8,13.6,ー,3714450600
334,5137,スマートＤ,東G,225,-70,-23.73,1987200,9.51,6.31,ー,447120000
335,4592,サンバイオ,東G,"1,811",-8,-0.44,1982800,ー,10.6,ー,3590850800
336,9147,ＮＸＨＤ,東P,"4,710",+122,+2.66,1967600,19.0,1.38,2.12,9267396000
337,5563,新日本電工,東P,498,+15,+3.11,1963000,ー,0.87,2.61,977574000
338,8359,八十二長野,東P,"2,388.0",+63.0,+2.71,1960900,14.9,0.95,2.72,4682629200
339,1655,ｉＳ米国株,東Ｅ,851.9,+1.9,+0.22,1956980,ー,ー,ー,1667151262
340,7004,カナデビア,東P,"1,402",+54,+4.01,1948700,11.2,1.20,2.71,2732077400
341,6323,ローツェ,東P,"3,739",-258,-6.45,1938700,23.3,4.98,0.53,7248799300
342,9301,三菱倉,東P,"1,425.0",+15.0,+1.06,1931200,21.3,1.29,3.09,2751960000
343,6724,エプソン,東P,"2,488.0",-8.0,-0.32,1912900,13.5,0.93,3.22,4759295200
344,3038,神戸物産,東P,"2,798.5",+62.0,+2.27,1905000,21.0,3.95,1.14,5331142500
345,3660,アイスタイル,東P,392,+6,+1.55,1904000,14.8,1.82,0.26,746368000
346,8698,マネックスＧ,東P,666,+11,+1.68,1902300,ー,1.32,4.62,1266931800
